Ozgur B. Akan,Middle East University Turkey
Tadashi Nakano,UC Irvine United States
Kenji Leibnitz,Osaka University Japan
Christian Bettstetter,University of Klagenfurth Austria
Stephan Steglich,Franhofer FOKUS Germany
Jun Suzuki,UMass Boston USA
Gianni di Caro,IDSIA Switzerland
Iacopo Carreras,Create-Net Italy
Jian-Qin Liu,NICT Japan
Emma Hart,Napier University United Kingdom
Alioune Ngom,University of Windsor Canada
Dr. Falko Dressler,Department of Computer Sciences University of Erlangen Germany
