Dr. Nirwan Ansari, Department of Electrical and Computer Engineering New Jersey Institute of Technology USA
Dr. Raj Jain, Department of Computer Science and Engineering Washington University in St. Louis USA
Dr. Tiffany Jing Li, Department of Electrical and Computer Engineering Lehigh University USA
Dr. Shiwen Mao, Department of Electrical and Computer Engineering Auburn University USA
Dr. Tommaso Melodia, Department of Electrical Engineering State University of New York at Buffalo USA
Dr. Claude Oestges, Microwave Laboratory Université catholique de Louvain (UCL) Belgium
Dr. Charles E. Perkins,WiChorus Inc. USA
Dr. Martin Reisslein, Department of Electrical Engineering Arizona State University USA
Dr. David Simplot-Ryl, Fundamental Computer Science Laboratory Centre de recherche INRIA Lille France
Dr. Wenye Wang,North Carolina State University USA
Dr. Baoxian Zhang, Graduate University Chinese Academy of Sciences China
Dr. Nei Kato,Tohoku University Japan
Dr. Jun Zheng,School of Information Science and Engineering Southeast University China
