Virgilio Almeida, University of Minas Gerais Brazil
Martin Arlitt, Hewlett Packard Labs USA,
Helen Ashman, University of South Australia Australia
Michael Auer, Carinthia University of Applied Sciences Austria,Michael Beigl
Technische Universität Braunschweig Germany
Azer Bestavros, Boston University USA
Valeria Cardellini, University of Rome Tor Vergata Italy
Lucy Cherkasova, Hewlett Packard Labs USA
Maria Ebling, IBM T.J. Watson Research Centre USA
Martin Gaedke, Chemnitz University of Technology Germany
Lorenz Hilty, Empa Switzerland
Daeyoung Kim, Korean Advanced Institute of Science and Technology Korea
Daniel Menascé, George Mason University USA
Frank Nack, Centrum voor Wiskunde en Informatica ( CWI ) The Netherlands
Dave Raggett, W3C USA
Daniel Schwab, Pontifical Catholic University of Rio de Janeiro Brazil
Maarten Van Steen, Vrije Univ. The Netherlands
Xing Xie, Microsoft Research China
Bin Xu, Tsinghua University China
Philip Yu, University of Illinois USA
Prof. David Lowe,University of Technology Sydney
Dr. Novella Bartolini,Computer Science Department University of Rome Italy
