"AUTHOR_ID","RESEARCHER","C1"
"27371973","Sharad Mehrotra","421"
"26875495","Shlomo Shamai","349"
"27362175","Steve Benford","669"
"26967009","Matthias Felleisen","162"
"27072045","Charles E. Perkins","71"
"26971708","Cynthia Dwork","218"
"27410947","Leonard Kleinrock","114"
"26830632","Dexter Kozen","120"
"27213338","Eero P. Simoncelli","89"
"27407263","Beng Chin Ooi","641"
"26848103","Ming Li","1149"
"26975939","Toby Walsh","513"
"27414608","Erol Gelenbe","248"
"27151492","John Mitchell","17"
"26741875","Patrice Godefroid","93"
"27435900","Thomas S. Huang","1321"
"26790181","Gurindar S. Sohi","127"
"27261579","Danny Dolev","468"
"26768846","Divyakant Agrawal","773"
"27308273","Gerhard Weikum","932"
"26719367","Alex Pentland","322"
"27432064","Jitendra Malik","266"
"26930005","Mostafa H. Ammar","317"
"27100038","Rachid Guerraoui","525"
"26822627","Robert E. Schapire","211"
"26694623","Amir Pnueli","454"
"27269889","C.-C. Jay Kuo","79"
"26900449","Amin Vahdat","359"
"27405305","Lothar Thiele","466"
"26823686","Mark Handley","134"
"27095219","Mubarak Shah","356"
"26605938","David Garlan","297"
"26998381","Eric Horvitz","259"
"26839817","Milind Tambe","509"
"27109846","Peter Brusilovsky","262"
"27254286","Ramesh Jain","367"
"26638831","Robin Milner","73"
"27112532","Rudi Studer","497"
"26923306","Sally Floyd","112"
"27069626","Shun-ichi Amari","261"
"26975740","Silvio Micali","187"
"27174147","Hari Balakrishnan","402"
"26631812","Andrew Y. Ng","283"
"26668261","Luca Cardelli","151"
"27078456","Josef Kittler","925"
"26717502","Michael P. Wellman","236"
"27118524","Kurt Mehlhorn","563"
"27213390","Ion Stoica","452"
"27118509","Ian F. Akyildiz","319"
"26928728","Dennis Gannon","466"
"27456473","Jim Gray","578"
"26624235","Kurt Keutzer","345"
"26675675","Thomas Eiter","651"
"27400137","Leslie Lamport","112"
"27030595","Anoop Gupta","338"
"26792211","Jeffrey F. Naughton","504"
"26866694","Kannan Ramchandran","310"
"27156341","Pankaj K. Agarwal","619"
"26681449","Randy H. Katz","449"
"27014749","Umeshwar Dayal","550"
"26899039","Zvi Galil","245"
"27142938","Russell Impagliazzo","261"
"26838517","Saul Greenberg","229"
"26919205","Shih-Fu Chang","424"
"26899593","Ulrike Sattler","281"
"26721944","HongJiang Zhang","868"
"26908349","Lawrence C. Paulson","70"
"27384605","Philip A. Bernstein","453"
"26878355","Abraham Silberschatz","441"
"26914039","Jennifer Rexford","330"
"27270257","Marvin Minsky","24"
"27089781","Mary Jean Harrold","228"
"27342657","Ming-Syan Chen","479"
"27241204","Takeo Kanade","596"
"27063885","Christos H. Papadimitriou","515"
"27165288","Barry Smith","142"
"26900637","Xin Yao","442"
"27286666","Lixia Zhang","396"
"27191283","C. Lee Giles","751"
"27257043","Moni Naor","357"
"27455284","Pat Hanrahan","311"
"26610721","Azriel Rosenfeld","386"
"27052911","M. Frans Kaashoek","373"
"26756068","Margaret Martonosi","260"
"27358741","Enrico Motta","388"
"26824687","David Wetherall","221"
"27248492","Ingemar J. Cox","174"
"26841184","Nicholas Ayache","818"
"27071728","Uriel Feige","209"
"27205757","Mark D. Hill","301"
"26627622","David Harel","246"
"26659240","Andrew Yao","1"
"27411405","Norman I. Badler","182"
"27302839","Philip Wadler","121"
"26851237","Surajit Chaudhuri","376"
"26807289","Thomas W. Reps","319"
"27454942","W. Bruce Croft","418"
"26842628","Gene Tsudik","298"
"27016196","Jiawei Han","1116"
"27204316","Niklaus Wirth","15"
"26776910","Richard Szeliski","288"
"27132506","Hanan Samet","263"
"26638666","David Haussler","396"
"26890050","John McCarthy","98"
"26707629","Niraj K. Jha","564"
"26875885","Oren Etzioni","220"
"27398815","Mihalis Yannakakis","280"
"26976621","Giovanni De Micheli","675"
"26681138","Frank van Harmelen","422"
"27076572","Nick McKeown","210"
"26777904","Vijaykrishnan Narayanan","119"
"27110378","Ivan Stojmenovic","385"
"27003911","Christian S. Jensen","600"
"27128030","Michael I. Jordan","402"
"27162129","Rama Chellappa","444"
"26847035","Ran Canetti","237"
"27172738","Thomas Ball","192"
"27114385","Gio Wiederhold","366"
"27447342","Amos Fiat","296"
"26952254","Sam Toueg","159"
"27066574","Vivek Sarkar","272"
"26899618","Klara Nahrstedt","517"
"26899395","Michael J. Black","156"
"26678285","B. S. Manjunath","290"
"26827601","David J. DeWitt","542"
"27188037","Jose Joaquin Garcia-Luna-Aceves","40"
"26764854","Kaushik Roy","835"
"27214883","Won Kim","320"
"27241917","Georg Gottlob","522"
"27143848","Herbert A. Simon","48"
"26703914","Baruch Awerbuch","372"
"27275684","Daniel Thalmann","649"
"27315533","Katsushi Ikeuchi","460"
"26952005","Ken Kennedy","428"
"27063451","Krithi Ramamritham","592"
"27386236","Sebastian Thrun","625"
"26708509","Sharad Malik","367"
"26698939","David A. Patterson","385"
"26704634","Marc Snir","299"
"27406908","Tom Leighton","40"
"26652626","Adrian Perrig","309"
"26729882","David Heckerman","163"
"27103720","Henning Schulzrinne","310"
"26731317","Pedro Domingos","158"
"27409179","Rajeev Alur","415"
"27191882","Nadia Magnenat-Thalmann","581"
"26798201","Wil M. P. van der Aalst","682"
"27420178","Heikki Mannila","343"
"26651721","Mani B. Srivastava","527"
"26873035","Douglas C. Schmidt","640"
"27056216","Craig Chambers","176"
"26732923","Tony Hoare","17"
"26936184","Noga Alon","800"
"26698778","Uzi Vishkin","194"
"27224281","Victor R. Lesser","365"
"26997341","Ian Horrocks","382"
"27377227","Michael Kearns","27"
"26678641","Ronald Fagin","302"
"27387894","Michel Raynal","626"
"27439932","Hsinchun Chen","1012"
"26869244","Carlo Zaniolo","307"
"26612367","David Salesin","248"
"27107259","Vipin Kumar","500"
"26958077","Andrew Blake","258"
"27320842","Dinesh Manocha","597"
"27138299","Edmund M. Clarke","561"
"27073656","Jeffrey D. Ullman","504"
"26627502","Peter Druschel","204"
"26691355","Songwu Lu","233"
"26821889","Stanley Osher","154"
"27189103","Badri Nath","48"
"27281960","Jason Cong","586"
"27243136","Robbert van Renesse","219"
"27182099","Amnon Shashua","99"
"27397965","Gaetano Borriello","349"
"27081987","Craig Boutilier","195"
"26993924","Prabhakar Raghavan","414"
"27409978","Henri Prade","634"
"26834622","Dan Suciu","377"
"26784679","Eduardo Sontag","6"
"26892307","Frank Pfenning","179"
"26798396","Kai Li","482"
"27140977","Madhu Sudan","322"
"26920384","Rachid Deriche","219"
"27027963","Mohammed Zaki","29"
"26914672","Noam Nisan","212"
"26729463","Ramesh Govindan","390"
"26813321","Michael Luby","186"
"27232560","Michael Stonebraker","623"
"26696595","Mahadev Satyanarayanan","265"
"27040281","Didier Dubois","635"
"26692561","Francisco Herrera","549"
"27214849","Ben Bederson","5"
"27259513","Joseph Y. Halpern","464"
"27037020","Miodrag Potkonjak","499"
"27248211","Steven Feiner","278"
"27212738","Giuseppe De Giacomo","479"
"27219286","Hans-Peter Kriegel","853"
"26801142","Lionel M. Ni","528"
"26936059","Chunming Qiao","258"
"26852692","S. Muthukrishnan","590"
"26771329","Sartaj Sahni","270"
"27246929","Riccardo Poli","305"
"26671306","Eitan Altman","497"
"26674506","Trevor Darrell","305"
"27016513","Hector Garcia-Molina","907"
