"RESEARCHER","C1"
"Ivo Welch","1"
"Pierre-Etienne Poirot","8"
"M. Kirane","4"
"Sigrid Bernstdorff","4"
"Amir F. Dana","15"
"Andrew D. Hurt","4"
"S. Streiffert","2"
"Javier Cabrera","17"
"Han-Suh Koo","10"
"Frédéric Jourde","10"
"Liangfeng Guo","1"
"Eric Jallas","5"
"Ingmar Meinecke","9"
"Albert R. Bakker","2"
"Gao-Ming Du","8"
"Thomas Meixner","3"
"Henk Corporaal","397"
"Rajat P. Garg","7"
"Christopher Whitaker","11"
"K.R. Bräutigam","2"
"Pavel Lukin","2"
"Kevin Chen-Chuan Chang","5"
"Brian Henry","12"
"N. F. Maklad","8"
"L. Gritz","9"
"M. J. Snowling","2"
"A. J. Duncan","3"
"J.-L. Baer","11"
"J. Icarus Allen","122"
"Mohammad Sohel Rahmani","1"
"Erwin Patzak","32"
"R. C. Williams","404"
"Isabella Verdinelli","6"
"Vassily Filippov","6"
"Miguel Nuno","3"
"Francesco Greco","94"
"R. E. Vandenberghe","16"
"A. M. Stearman","1"
"Ulrich Rist","72"
"Linda Schlipper","6"
"T. G. R. Bower","2"
"Wenxin Wu","13"
"R. N. Hampton","20"
"Eric H. Sorensen","1"
"P. Whitting","1"
"Angelo Corallo","49"
"Simon Perkins","46"
"Ruth Pachter","38"
"Joaquim Tur-Masanet","2"
"Karen Lee","11"
"Yue-Ting Shen","9"
"John G. P. Barnes","5"
"H. Seidell","4"
"R. S. Bajwa","2"
"Alan R. Templeton","5"
"Suk Hwan Lim","19"
"Tommaso Carratta","2"
"Quynh-Thu Le","6"
"Jay Sengupta","3"
"Mengying Fu","5"
"Dimitrios A. Pados","47"
"Nicholas Lindsay","1"
"Yim-Hung Chan","3"
"Seiichi Serikawa","8"
"Jinson Wang","2"
"Victor Sreeram","20"
"Saul A. Kravitz","25"
"Chi-Chia Sun","3"
"Miroslav Begovic","36"
"P. Mythili","5"
"D. Hague","8"
"Laura Turkki","10"
"J. Dauelsberg","7"
"Ettore Pietrosanti","10"
"V. Phanilatha","3"
"I. Uchizaki","3"
"Takahiro Yamamoto","1748"
"J. Van Frankenhuyzen","1"
"Gordon Stoll","47"
"Ian A. Henderson","14"
"Gene Awyzio","14"
"Bing-Chao Huang","7"
"G. R. Buesnel","2"
"Galal Hassan Galal","16"
"Garey Ramey","22"
"A. Ba¿¿Uelos Cruz","13"
"Jesper Henri Hattel","2"
"Charles F. Hall","1"
"Soh Koike","17"
"W. M. Tang","8"
"Juan Manuel González Nieto","129"
"Mohsen Jannati","2"
"Yu Kou","10"
"Carl Livadas","27"
"Jack Harris","2"
"Myrta Grüning","5"
"Brian M. Frank","1"
"Ishita De","3"
"George Vysotsky","4"
"Takashi Tokutani","1"
"Frank Mietke","32"
"Miguel Bugalho","14"
"M. Thémans","5"
"Predrag M. Rajkovic","4"
"Günter Filbig","1"
"Jennie Sharf","1"
"P. K. Baumann","9"
"Sungcheol Park","5"
"Morimasa Kajioka","2"
"Ragnar Winther","13"
"Céline Quémard","3"
"Thomas J. Jasinski","3"
"Sourav K. Dutta","4"
"Steven Bleisten","4"
"R. Taniguchi","1"
"JiHyun Choi","4"
"M. Anthony Lewis","50"
"Kensaku Kanada","7"
