"rank","gs_citedpub","gs_pub","gs_hindex","gs_gindex","gs_h2index","gs_eindex","gs_aindex","gs_citations"
1,97,61,89,16,17,61,60,94
2,32,93,1,60,82,57,37,19
3,98,28,17,49,28,54,89,96
4,72,9,1,92,90,67,10,57
5,64,62,56,53,26,53,57,44
6,61,55,85,60,52,75,59,49
7,46,19,54,44,91,21,4,34
8,88,28,51,70,52,62,65,1
9,46,97,21,17,8,56,37,12
10,70,59,84,93,52,11,13,30
11,88,48,83,38,53,9,48,87
12,16,12,95,19,23,62,55,61
13,30,23,15,95,31,80,22,60
14,17,84,53,35,71,53,23,69
15,92,44,24,58,34,83,38,66
16,74,5,29,35,38,68,62,21
17,47,26,80,39,62,12,97,78
18,95,0,98,98,90,94,92,1
19,83,69,87,1,49,55,17,54
20,63,35,78,27,91,16,17,42
21,81,32,16,43,70,41,35,81
22,2,62,31,96,99,37,7,49
23,34,26,73,86,71,72,95,78
24,39,45,51,91,68,10,41,94
25,75,34,61,17,73,3,11,75
26,49,67,52,89,53,46,43,74
27,75,22,2,34,9,6,34,45
28,61,76,81,57,25,90,7,14
29,98,68,31,65,19,21,86,2
30,17,44,12,93,54,56,81,30
31,88,64,38,57,41,52,30,36
32,16,27,78,64,30,67,86,21
33,14,76,77,39,72,20,12,72
34,22,1,28,91,23,65,65,42
35,13,95,15,81,41,38,89,86
36,89,76,34,83,5,30,93,70
37,31,28,8,15,46,62,79,10
38,84,91,34,9,91,86,3,62
39,57,67,72,36,95,57,55,27
40,46,68,99,70,50,24,36,21
41,98,34,52,52,99,11,33,16
42,91,75,3,78,56,13,36,74
43,34,27,52,81,88,65,47,10
44,40,83,29,66,88,85,71,25
45,73,64,3,75,99,82,55,55
46,38,76,4,69,69,48,4,22
47,5,89,81,94,69,94,14,16
48,58,83,86,80,49,24,75,53
49,3,92,46,70,83,68,37,18
50,82,72,12,100,30,15,65,18
51,15,96,41,77,83,14,82,29
52,95,4,63,24,46,10,15,49
53,91,32,74,43,20,63,69,29
54,37,26,42,67,66,7,46,100
55,18,28,81,63,15,51,64,38
56,61,85,32,9,20,95,99,92
57,32,52,100,50,68,91,69,59
58,98,96,85,14,70,86,29,44
59,28,70,13,69,51,32,7,74
60,18,87,15,94,46,54,24,91
61,92,9,42,98,4,53,63,49
62,65,29,22,28,59,72,66,69
63,59,20,25,84,61,36,56,65
64,16,96,84,40,100,98,82,41
65,29,13,34,25,34,54,44,53
66,36,49,65,5,50,65,14,59
67,57,46,44,0,86,54,65,18
68,38,35,48,91,81,72,84,73
69,74,49,63,39,11,1,55,77
70,96,63,33,24,87,30,3,41
71,24,16,71,6,72,10,15,31
72,74,65,98,100,50,31,41,49
73,55,18,49,6,10,57,40,1
74,86,33,85,7,15,77,10,0
75,48,23,33,20,68,27,46,16
76,95,86,36,21,20,99,67,42
77,52,76,98,9,23,16,52,29
78,34,46,43,74,4,17,94,59
79,17,19,14,26,37,60,13,93
80,43,2,10,63,83,55,100,79
81,80,28,32,22,96,100,80,6
82,25,41,39,39,44,60,71,91
83,21,87,6,72,38,44,95,4
84,97,54,22,71,62,83,12,78
85,56,27,43,12,52,74,83,10
86,1,33,78,74,45,95,64,93
87,79,19,37,93,29,32,81,99
88,7,5,25,99,17,16,93,82
89,34,26,67,9,75,18,38,65
90,39,57,25,6,26,83,65,76
91,43,81,51,72,48,16,36,58
92,28,65,51,20,43,38,96,5
93,61,9,26,7,71,14,72,31
94,39,98,88,70,40,99,88,61
95,4,80,95,11,19,32,6,28
96,1,35,10,57,99,17,90,30
97,51,61,11,22,33,8,29,67
98,47,70,71,5,47,89,82,5
99,44,46,63,83,30,91,92,69
100,15,29,48,24,66,26,58,44
