Cristian Perra,University of Cagliari Italy
Claudio Sacchi,University of Trento Italy
Geyong Min,Bradford University UK
Maria Martini,Kingston University UK
Tasos Dagiuklas,TEI of Mesolonghi Greece
Thomas Schierl,HHI Fraunhofer Germany
Petteri Nurmi,University of Helsinki Finland
Jon Sporring,Department of Computer Science University of Copenhagen DK
Jean-Marc Thiriet,IUT de Grenoble FR
Vesna Zeljkovic,DESU University USA
Laura Grindei ,Technical University of Cluj-Napoca
Ioannis Patras,QMUL UK
Dr. Luigi Atzori,University of Cagliari Italy
