Dr. Randy Katz,Faculty of Electrical Engineering and Computer Science UC Berkeley CA USA
Dr. Richard Somerville,Scripps Institute of Oceanography University of California at San Diego CA USA
Dr. Bill St. Arnaud,Chief Research Officer CANARIE Inc. Canada
Dr. Geert Deconinck,Department of Electrical Engineering Katholieke Universiteit Leuven Belgium
Dr. Marija Ilic,Department of Electrical and Computer Engineering Carnegie Melon University USA
Dr. Roberto Setola,Complex Systems and Security Laboratory Universita Campus Bio-Medico di Roma Italy
Dr. Jose Marti,University of British Columbia Canada
Dr. Valeriy Vyatkin,Electrical Engineering University of Auckland New Zealand
Dr. Joel Kubby,The University of California at Santa Cruz CA USA
Prof. Mihaela Ulieru,Faculty of Computer Science University of New Brunswick Canada
