Prof. Tamer Basar,University of Illinois at Urbana-Champaign (UIUC)
Prof. Nahum Shimkin,Technion Israel
Prof. Lorn Mason,Univ McGill Montreal
Prof. Eilon Solan,Tel-Aviv Univ Israel
Prof. Asu Ozdaglar,MIT Boston
Prof. Hiroyuki Ohsaki,Osaka Univ Japan
Prof. Vivek Borkar,TIFR Mumbai India
Prof. José Aguilar,Univ de los Andes Mérida Venezuela
Prof. Merouane Debbah,Supelec France
Dr. Jean Claude Bermond,CNRS France
Dr. Laura Wynter,IBM
Dr. Konstantin Avratchenkov,INRIA France
Dr. Eitan Altman,Senior Researcher - INRIA France
Dr. Daniele Miorandi,Area Head Pervasive Computing and Communications Area - Create-Net Italy
