Yena Chen,Northwestern University USA
Cristian Estan,University of Wisconsin USA
Sencun Zhu,Pennsylvania State University USA
Gail Ahn,Arizona State University USA
Shambhu Upadhyaya,University at Buffalo The State University of New York USA
Sabrina De Capitani di Vimercati,University of Milan Italy
Xuxian Jiang,North Carolina State University USA
Pierangela Samarati,University of Milan Italy
Zhendong Su,UC Davis USA
Bao Feng,Institute for Infocomm Research Singapore
Jean Camp,Indiana University USA
H. R. Rao,University at Buffalo The State University of New York USA
Yacov Haimes,University of Virginia USA
John Yen,Pennsylvania State University USA
Dr. Peng Liu,College of Information Sciences and Technology Pennsylvania State University
