"researcher","votes","avg_rating","votes3","avg_rating3","hindex_palsberg","pubcount_dblp","pub_citeseer","hr_index_readermeter","gr_index_readermeter","mostread_readermeter","pubcount_readermeter","bookmarks_readermeter","gs_hindex","gs_gindex","gs_aindex","gs_h2index","gs_eindex","gs_citations","gs_citedpub","gs_pubcount","gs_citationsperpaper"
Jeffrey D. Ullman,13,3.538461538,13,3.538461538,87,244,16,9,13,31,91,311,0,0,0,0,0,0,0,0,0
Vipin Kumar,4,2.25,4,2.25,45,197,40,9,15,59,206,549,67,89,275.69,15,118.25,19754,89,89,221.9550562
Michael Stonebraker,14,3.214285714,14,3.214285714,49,235,0,11,14,22,106,404,59,84,201.17,15,91.59,13038,84,84,155.2142857
Vern Paxson,3,2,0,0,43,84,30,9,12,28,104,399,55,85,395.69,17,136.89,22767,85,85,267.8470588
C.A.R. (Tony) Hoare,11,3.181818182,11,3.181818182,47,142,0,8,15,78,111,389,0,0,0,0,0,0,0,0,0
Carl Kesselman,7,2.285714286,7,2.285714286,45,108,37,10,14,33,105,400,51,65,715.86,18,184.14,37134,65,65,571.2923077
W. Bruce Croft,5,2.4,5,2.4,49,212,46,10,14,37,135,550,0,0,0,0,0,0,0,0,0
Stefano Ceri,15,3,15,3,41,248,32,7,10,27,87,251,50,97,216.32,15,91.19,12125,97,97,125
Giuseppe De Giacomo,9,2.666666667,9,2.666666667,48,171,48,5,6,12,85,173,48,84,124.08,12,60.43,7320,97,97,75.46391753
Dieter Fensel,14,2.285714286,14,2.285714286,56,166,41,11,13,20,163,495,54,79,200.35,13,88.9,11837,79,79,149.835443
Luca Cardelli,9,2.555555556,9,2.555555556,58,131,41,8,13,49,98,377,64,99,263.66,16,113.04,18111,99,99,182.9393939
Nick Jennings,7,2.142857143,7,2.142857143,76,314,0,3,3,4,64,49,10,41,166.8,7,39.6,1710,23,52,32.88461538
Daphne Koller,3,2.333333333,0,0,49,164,71,16,26,89,200,1315,68,88,208.22,15,97.65,15279,88,88,173.625
Ian Foster,8,2.375,8,2.375,90,291,73,16,23,72,500,1964,89,89,596.62,22,212.55,53099,89,89,596.6179775
C. Lee Giles,3,2.666666667,0,0,49,252,82,10,14,26,176,591,0,0,0,0,0,0,0,0,0
Frank van Harmelen,9,2.333333333,9,2.333333333,52,130,37,11,18,47,127,544,48,78,212.25,12,88.79,11083,78,78,142.0897436
