"rank","gs_citedpub","gs_pub","gs_hindex","gs_gindex","gs_h2index","gs_eindex","gs_aindex","gs_citations"
1,68,80,73,14,8,9,88,96
2,69,24,62,6,12,53,2,53
3,73,30,92,79,56,26,6,12
4,72,77,3,78,42,29,66,74
5,43,38,78,76,91,3,2,81
6,80,23,22,55,88,35,86,38
7,75,30,77,56,45,62,58,48
8,8,2,47,69,27,32,29,61
9,30,16,72,73,26,10,0,42
10,62,33,90,1,36,81,6,22
11,14,4,86,42,27,10,79,45
12,65,66,76,50,68,35,85,21
13,10,76,34,83,26,27,54,24
14,17,62,61,9,9,85,26,16
15,58,82,36,67,9,52,3,51
16,34,50,34,5,64,49,66,67
17,50,41,31,15,22,73,33,3
18,31,41,20,49,58,48,76,42
19,36,52,3,74,9,77,11,16
20,50,41,11,80,46,6,27,18
21,20,64,37,15,34,67,29,53
22,38,28,44,3,26,32,25,74
23,9,45,66,38,35,75,73,0
24,10,74,34,12,15,38,38,71
25,48,5,33,65,64,32,23,66
26,61,61,0,21,44,65,48,43
27,12,47,41,69,35,37,32,10
28,18,48,54,70,55,18,45,22
29,33,56,52,57,67,43,9,66
30,58,55,12,35,17,59,3,54
31,64,13,58,2,59,68,25,69
32,13,31,52,13,58,64,44,13
33,36,54,2,36,38,47,42,6
34,39,32,46,24,49,62,29,22
35,38,60,26,40,21,8,6,41
36,59,50,44,34,35,63,57,53
37,4,41,19,3,19,24,40,63
38,12,0,10,24,24,35,23,9
39,4,51,49,45,21,45,15,18
40,43,34,25,16,4,26,24,20
41,48,20,1,44,9,24,3,33
42,30,11,40,36,50,24,44,43
43,50,36,39,38,10,17,32,4
44,2,16,11,1,12,43,34,34
45,37,3,50,44,26,55,6,1
46,33,15,46,53,34,23,24,49
47,47,39,52,1,30,14,0,2
48,29,34,37,29,36,4,51,45
49,17,20,25,3,25,29,33,19
50,4,17,5,50,33,1,32,39
51,0,29,20,48,10,26,40,24
52,27,45,8,41,26,33,12,9
53,9,6,10,17,38,28,35,8
54,9,40,35,4,8,43,35,31
55,1,32,4,23,14,7,1,6
56,31,31,6,0,3,27,8,26
57,5,11,43,41,23,19,37,25
58,1,14,16,23,41,33,4,17
59,16,0,39,0,11,20,18,3
60,40,20,21,0,8,39,28,27
61,27,3,1,5,5,36,12,4
62,36,3,3,19,11,18,34,31
63,7,27,24,2,5,28,7,30
64,23,16,20,7,29,24,15,27
65,15,25,20,5,25,8,9,21
66,19,25,7,27,8,30,25,23
67,15,26,15,29,13,10,8,3
68,29,22,20,27,1,15,6,24
69,20,27,23,10,2,14,19,13
70,18,14,15,17,14,6,14,19
71,3,23,28,18,9,20,7,15
72,14,2,26,19,18,3,26,11
73,25,17,0,16,1,9,15,0
74,14,0,2,2,17,13,10,20
75,7,23,9,0,4,18,8,5
76,16,8,4,18,11,15,14,13
77,9,20,10,6,12,13,10,14
78,8,18,21,5,9,21,5,13
79,0,7,5,4,13,17,12,4
80,12,17,16,16,14,1,2,19
81,2,2,16,6,2,13,5,6
82,18,1,10,7,14,8,4,13
83,13,13,11,4,8,12,16,0
84,4,10,15,13,10,7,8,14
85,15,4,4,12,8,8,0,2
86,0,4,0,10,4,4,0,8
87,9,7,0,6,13,4,5,7
88,5,2,4,0,9,11,6,11
89,5,11,6,11,2,7,10,6
90,3,9,6,2,6,2,10,4
91,3,3,7,0,0,9,1,3
92,6,2,5,3,8,0,7,6
93,3,4,6,6,7,4,2,3
94,5,0,2,1,1,3,0,5
95,3,5,1,5,2,4,4,5
96,0,3,2,1,4,2,2,4
97,2,0,3,0,1,1,2,2
98,1,0,1,2,0,0,2,0
99,1,0,1,0,1,0,1,1
100,0,0,0,0,0,0,0,0
